Distributor,Customer Name,City,Country,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year
Erdman  ,Turner Ltd Pharmacy,Dortmund,Germany,Pharmacy,Retail,Topifribrate,Analgesics,5.0,621,3105.0,January,2019
Erdman  ,Huel Inc Pharm,Zwickau,Germany,Pharmacy,Retail,Interfestar,Antibiotics,60.0,62,3720.0,January,2019
Erdman  ,Kozey Ltd Pharmacy,Stralsund,Germany,Pharmacy,Retail,Amphesirox,Antiseptics,20.0,25,500.0,January,2019
Erdman  ,Streich PLC ,Bottrop,Germany,Pharmacy,Retail,Microroban Afatigomar,Antimalarial,60.0,478,28680.0,January,2019
Erdman  ,"Torphy, Pfeffer and Jakubowski Pharmaceutical Ltd",Leipzig,Germany,Pharmacy,Retail,Factolamide,Antiseptics,30.0,345,10350.0,January,2019
Erdman  ,"Wunsch, Mills and Walter Pharmaceutical Limited",Münster,Germany,Pharmacy,Retail,Doxivorin,Antimalarial,10.0,516,5160.0,January,2019
Erdman  ,West Group Pharma Plc,Aschersleben,Germany,Pharmacy,Retail,Epzipitant,Analgesics,5.0,778,3890.0,January,2019
Erdman  ,Kreiger Inc ,Burgdorf,Germany,Pharmacy,Retail,Abranatal Lysoprosate,Antiseptics,10.0,681,6810.0,January,2019
Erdman  ,Rowe PLC Pharm,Verl,Germany,Pharmacy,Retail,Enzastryl,Antiseptics,2.0,26,52.0,January,2019
Erdman  ,"Nolan, DuBuque and Schultz Pharmacy",Wernigerode,Germany,Pharmacy,Retail,Abatatriptan,Antibiotics,5.0,742,3710.0,January,2019
Erdman  ,Gerlach LLC Pharmacy,Hofheim,Germany,Pharmacy,Retail,Quixitriptan Alanesin,Antiseptics,20.0,79,1580.0,January,2019
Erdman  ,McCullough LLC Pharmaceutical Limited,Nuremberg,Germany,Pharmacy,Retail,Fentatrol Rapatelase,Antibiotics,5.0,458,2290.0,January,2019
Erdman  ,"Romaguera, Moen and Hagenes Pharm",Unterschleißheim,Germany,Pharmacy,Retail,Pulmogen Alitora,Antiseptics,5.0,647,3235.0,January,2019
Erdman  ,Armstrong Inc Pharma Plc,Passau,Germany,Pharmacy,Retail,Diprolimus,Antiseptics,20.0,634,12680.0,January,2019
Erdman  ,Friesen Group ,Meiningen,Germany,Pharmacy,Retail,Choriogestrel,Antiseptics,10.0,347,3470.0,January,2019
Erdman  ,"Paucek, Keeling and Bruen Pharmaceutical Limited",Bad Kreuznach,Germany,Pharmacy,Retail,Morphizolid Tianalin,Mood Stabilizers,20.0,742,14840.0,January,2019
Erdman  ,McDermott Inc Pharma Plc,Staßfurt,Germany,Pharmacy,Retail,Metapatch,Antipiretics,50.0,438,21900.0,January,2019
Erdman  ,Friesen Group ,Meiningen,Germany,Pharmacy,Retail,Belavarix Benzabicin,Antibiotics,50.0,131,6550.0,January,2019
Erdman  ,Hayes-Kilback Pharmaceutical Limited,Springe,Germany,Pharmacy,Retail,Propratecan,Antimalarial,20.0,682,13640.0,January,2019
Erdman  ,Hoeger Ltd Pharm,Lennestadt,Germany,Pharmacy,Retail,Novakyn Tracprox,Antiseptics,20.0,288,5760.0,January,2019
Erdman  ,Gerlach LLC Pharmacy,Hofheim,Germany,Pharmacy,Retail,Victomax,Analgesics,5.0,623,3115.0,January,2019
Erdman  ,Huels-Klein Pharmaceutical Ltd,Helmstedt,Germany,Pharmacy,Retail,Veratorol Ciclovatol,Mood Stabilizers,5.0,154,770.0,January,2019
Erdman  ,Hermiston LLC Pharm,Moers,Germany,Pharmacy,Retail,Abilovir Aprotasol,Antipiretics,50.0,269,13450.0,January,2019
Erdman  ,"Upton, Abernathy and Goodwin Pharm",Kelkheim (Taunus),Germany,Pharmacy,Retail,Spiroderall,Mood Stabilizers,20.0,653,13060.0,January,2019
Erdman  ,Huels-Klein ,Peine,Germany,Pharmacy,Retail,Cyclovital,Antimalarial,100.0,677,67700.0,January,2019
Erdman  ,"Zieme, Doyle and Kunze Pharmacy",Tuttlingen,Germany,Pharmacy,Retail,Imiformin Transmunex,Antibiotics,100.0,400,40000.0,January,2019
Erdman  ,Crist Inc Pharma Plc,Eschwege,Germany,Pharmacy,Retail,Malavirine Alimdine,Mood Stabilizers,100.0,767,76700.0,January,2019
Erdman  ,Hermiston LLC Pharmaceutical Limited,Gevelsberg,Germany,Pharmacy,Retail,Ribabyclor,Antiseptics,50.0,469,23450.0,January,2019
Erdman  ,Dach Ltd Pharm,Saarlouis,Germany,Pharmacy,Retail,Halciramine,Antimalarial,100.0,409,40900.0,January,2019
Gerlach LLC ,Streich PLC ,Bottrop,Germany,Pharmacy,Retail,Zonixamine Immulinum,Analgesics,1.0,298,298.0,January,2019
Gerlach LLC ,Runolfsson-Halvorson Pharm,Rheinberg,Germany,Pharmacy,Retail,Abtasol,Antiseptics,30.0,754,22620.0,January,2019
